"stratum","count_year","total_count_circles","total_obs_hours"
"CAN",1966,6,246
"CAN",1967,6,395
"CAN",1968,5,380
"CAN",1969,6,374
"CAN",1970,5,503
"CAN",1971,7,735
"CAN",1972,8,686
"CAN",1973,12,837.5
"CAN",1974,15,1158
"CAN",1975,19,1199
"CAN",1976,23,1681.9
"CAN",1977,22,1794.2
"CAN",1978,23,1929.7
"CAN",1979,25,1935.5
"CAN",1980,28,1948.1
"CAN",1981,31,2206
"CAN",1982,35,2320.5
"CAN",1983,35,2419.8
"CAN",1984,35,2629.9
"CAN",1985,41,2710.6
"CAN",1986,34,2679.7
"CAN",1987,40,2942.6
"CAN",1988,39,3195.3
"CAN",1989,42,3346.9
"CAN",1990,45,3448.9
"CAN",1991,44,3115.7
"CAN",1992,49,4090.3
"CAN",1993,54,3716.6
"CAN",1994,51,4079.9
"CAN",1995,54,4504.2
"CAN",1996,58,4422.8
"CAN",1997,54,3905.1
"CAN",1998,59,4841.9
"CAN",1999,57,4221.2
"CAN",2000,59,4812.25
"CAN",2001,69,4671.73
"CAN",2002,74,5622.2
"CAN",2003,78,5465.3
"CAN",2004,81,5517
"CAN",2005,80,5606.75
"CAN",2006,86,5994
"CAN",2007,88,5746.7
"CAN",2008,86,5749.75
"CAN",2009,82,4516.75
"CAN",2010,89,5850.75
"CAN",2011,92,5874.5
"CAN",2012,94,5847.67
"CAN",2013,91,5699.02
"CAN",2014,95,5945.49
"CAN",2015,99,6205.49
"CAN",2016,99,6221.65
"CAN",2017,99,5980.11
"CAN",2018,96,6081.33
"CAN",2019,91,5888.13
"CAN",2020,88,5755.73
"CAN",2021,89,6486.23
"USA",1966,62,2728
"USA",1967,63,3447
"USA",1968,68,3630
"USA",1969,70,3478
"USA",1970,77,4416
"USA",1971,82,5205
"USA",1972,89,5587
"USA",1973,102,6634.5
"USA",1974,114,8625
"USA",1975,120,8876.8
"USA",1976,122,9247.2
"USA",1977,131,10502.6
"USA",1978,140,10588.5
"USA",1979,144,10278.1
"USA",1980,156,11282.1
"USA",1981,166,12152.5
"USA",1982,167,11161.2
"USA",1983,177,12684.2
"USA",1984,177,12732.9
"USA",1985,180,12316.3
"USA",1986,182,12596.5
"USA",1987,183,13238.4
"USA",1988,186,13656.2
"USA",1989,185,13555.9
"USA",1990,192,14157.5
"USA",1991,191,13268.25
"USA",1992,209,14883.75
"USA",1993,204,14890.25
"USA",1994,207,15522.75
"USA",1995,214,15345.25
"USA",1996,208,15770.85
"USA",1997,218,15223.75
"USA",1998,228,16479.75
"USA",1999,230,16244.6
"USA",2000,234,17254.5
"USA",2001,241,18017.11
"USA",2002,246,17589.37
"USA",2003,249,18114.82
"USA",2004,247,18042.5
"USA",2005,248,19361.5
"USA",2006,253,18576.15
"USA",2007,252,19172.9
"USA",2008,255,19838.95
"USA",2009,255,17980.1
"USA",2010,253,19051.4
"USA",2011,257,18457
"USA",2012,260,19509.79
"USA",2013,258,18442.79
"USA",2014,270,20486.63
"USA",2015,272,20680.15
"USA",2016,269,20118.46
"USA",2017,277,19454.55
"USA",2018,274,21328.81
"USA",2019,283,20660.82
"USA",2020,277,21083.86
"USA",2021,239,20185.85
"AB",1966,1,43
"AB",1967,1,48
"AB",1968,1,49
"AB",1969,1,35
"AB",1970,1,54
"AB",1971,1,31
"AB",1972,1,38
"AB",1973,1,68
"AB",1974,1,78
"AB",1975,2,114
"AB",1976,4,233.5
"AB",1977,4,325.3
"AB",1978,4,412
"AB",1979,5,347.6
"AB",1980,5,345.6
"AB",1981,5,333.4
"AB",1982,5,342.1
"AB",1983,6,450.9
"AB",1984,6,426.6
"AB",1985,5,315.3
"AB",1986,5,468.3
"AB",1987,6,533.4
"AB",1988,6,565.5
"AB",1989,6,576.8
"AB",1990,6,560.3
"AB",1991,5,456
"AB",1992,7,690.3
"AB",1993,9,632.7
"AB",1994,7,647.2
"AB",1995,6,672.6
"AB",1996,8,793.7
"AB",1997,7,648.4
"AB",1998,8,912.1
"AB",1999,8,728.75
"AB",2000,9,767.25
"AB",2001,12,868.78
"AB",2002,12,839.75
"AB",2003,12,994.25
"AB",2004,13,835
"AB",2005,11,773.75
"AB",2006,13,914.75
"AB",2007,13,884.75
"AB",2008,12,956.25
