"parameter","stratum","count_year","estimate_median","estimate_lcl","estimate_ucl","estimate_mean","estimate_sd","quantile050","quantile165","quantile835","quantile950"
"RatioTrendAllYears","USACAN",,0.995519891215899,0.989978386436425,0.999981365206889,0.995368370300561,0.00261709526090137,0.991141554357308,0.993174635699224,0.997714017902131,0.999195151795464
"RatioTrend1993On","USACAN",,0.99656717363312,0.991463248468396,1.00204161660758,0.996606940236349,0.00267584849281687,0.992341120596117,0.994166066626043,0.999077421866374,1.00104027213327
"RatioTrend10Year","USACAN",,0.996699908520736,0.984913886213425,1.0105158743583,0.996891530444017,0.00649327264449534,0.986797078429082,0.990849531515838,1.0028118716327,1.00773437679641
"RatioTrendAllYears","CAN",,0.992431277096813,0.9861477401295,1.00086600935812,0.992700702713869,0.00372078011430051,0.987150442543261,0.989240687647262,0.996106914753742,0.999094767669526
"RatioTrendAllYears","USA",,0.997174309477284,0.989372140496217,1.00255812640908,0.996815511583946,0.00346099551369415,0.990869101737809,0.993781308784814,0.999903079945298,1.00164769027943
"RatioTrend1993On","CAN",,0.994518378768563,0.986023342042544,1.00606096064095,0.994885855475014,0.00505779373855124,0.987381071036198,0.990213581966164,0.999449097067065,1.00374378551753
"RatioTrend1993On","USA",,0.997337284910823,0.990911878114855,1.00353736169795,0.997326901681191,0.00317656729892031,0.992120449956537,0.994403248396482,1.00030657822773,1.0024392790048
"RatioTrend10Year","CAN",,0.993566055052042,0.974209464934076,1.0179242230977,0.994293680771664,0.0110919745145404,0.977510756854324,0.984056418304939,1.0045590067247,1.01333636571475
"RatioTrend10Year","USA",,0.997505612613463,0.983180354373617,1.01493332073557,0.997812685702964,0.00793083395714658,0.985565278575086,0.990634159277984,1.00480298131808,1.0112922379232
"RatioTrendAllYears","AB",,0.983694563269411,0.973108144398111,0.994949138184784,0.983769456381036,0.00555312470174317,0.974831989387345,0.978539862497512,0.989136582456941,0.993141096356365
"RatioTrendAllYears","AK",,1.00791596109462,0.99827973692404,1.01603146170777,1.00772718815738,0.00450145321314661,1.00014081166529,1.00367231125052,1.01194835048446,1.01474977489966
"RatioTrendAllYears","AZ",,0.943635565230969,0.921798158320252,0.967651121282548,0.943793066469366,0.0115608288592311,0.925609732296564,0.932927829332159,0.954321600626267,0.963158617917692
"RatioTrendAllYears","BC",,0.988843769638178,0.981967984157875,0.996010681362898,0.988887012487259,0.00358278039502608,0.983129426867079,0.985489426475748,0.992374791185902,0.994891376419287
"RatioTrendAllYears","CA",,0.993245185425634,0.986348326573222,1.00110499759653,0.993358547606109,0.00377709282192983,0.987337787198507,0.989782662901675,0.996864734876749,0.99966405150716
"RatioTrendAllYears","CO",,0.996812024747427,0.989752353066129,1.00453581228158,0.996911627180599,0.00375782571255656,0.99089482043546,0.993330393169073,1.00054825241911,1.00331902079511
"RatioTrendAllYears","ID",,0.978272012857747,0.954633652194932,1.00414546907828,0.978355174345934,0.0123811708833544,0.95816899587614,0.966461694790273,0.989647308343796,0.998842439497505
"RatioTrendAllYears","MT",,0.997730992626214,0.991899177873139,1.00357151933388,0.997718832443614,0.00292271790810021,0.992881835360155,0.994967141058322,1.00047974426947,1.00247198439187
"RatioTrendAllYears","NM",,0.976789387449521,0.962771194294626,0.997726338215438,0.977683933847234,0.00873351485277705,0.964903860703976,0.969623459160187,0.985613073889565,0.993258124760658
"RatioTrendAllYears","NV",,1.01193270959963,0.997119557306638,1.02656788203576,1.01184497383092,0.00745275454088658,0.999544341411897,1.004694077755,1.01895853986993,1.02413133426793
