"parameter","stratum","country","state","bcr","bcr_name","count_year","estimate_median","estimate_lcl95","estimate_ucl95","estimate_precision","estimate_mean","estimate_sd","effective_posterior_N","geweke_convergence_diag","quantile050","quantile165","quantile835","quantile950"
"RatioTrendSurveyWideAllYears",,,,,,,0.99552,0.98997885,0.999981075,0.0100022249999999,0.9953683706,0.00261709459413815,141.29470907581,0.993659860850603,0.99114195,0.993174833,0.997714165,0.9991951
"RatioTrendSurveyWide1993On",,,,,,,0.996567,0.991462975,1.00204025,0.0105772750000002,0.9966069367,0.00267582795377747,267.634678180441,0.962295034093061,0.992341,0.994166,0.999077,1.00104
"RatioTrendSurveyWide10Year",,,,,,,0.9967,0.984913975,1.0105205,0.0256065250000003,0.9968915273,0.00649325989817636,452.69872946744,2.20052947771711,0.98679695,0.990849666,1.00281,1.007731
"RegressionTrendSurveyWide1970On",,,,,,,0.99554,0.990941975,0.999321,0.0083790250000001,0.9954287678,0.00213669133270772,111.543210715973,0.562643319326708,0.991865,0.993587833,0.997325,0.998672
"RegressionTrendSurveyWide1993On",,,,,,,0.9964665,0.992715975,1.00076,0.00804402500000001,0.996541776,0.00202069483098859,113.605399347086,0.829754611831983,0.99338895,0.994686833,0.998434165,0.99993505
"RegressionTrendSurveyWide10Year",,,,,,,0.996892,0.98848595,1.00693,0.0184440500000002,0.9970854794,0.00464102058400755,344.980290026195,1.29133959566376,0.9899396,0.992758831,1.00143,1.00495
"RatioTrendPerStratumAllYears","CA-AB-BCR-06","CAN","AB",6,"Boreal Taiga Plains",,0.995209,0.9827197,1.00835025,0.02563055,0.9953283566,0.00658368561042051,885.603269295821,-0.0671214447924478,0.98476065,0.989037664,1.00174165,1.0061105
"RatioTrendPerStratumAllYears","CA-AB-BCR-10","CAN","AB",10,"Northern Rockies",,0.9762225,0.965480825,0.986824075,0.02134325,0.9761943801,0.00538826088230308,1031.46919364401,1.23542665529423,0.967257,0.971042332,0.981377165,0.985014
"RatioTrendPerStratumAllYears","CA-AB-BCR-11","CAN","AB",11,"Prairie Potholes",,0.991931,0.97044375,1.0117105,0.0412667500000002,0.9917749035,0.0104555155510253,566.348612344813,-0.75863749806969,0.97394795,0.981917833,1.00179,1.008491
"RatioTrendPerStratumAllYears","CA-BC-BCR-05","CAN","BC",5,"Northern Pacific Rainforest",,1.00027,0.9903858,1.00989025,0.01950445,1.0002802421,0.00494009977729889,1435.62889521286,-2.00293570988481,0.99208095,0.99567,1.00504,1.00831
"RatioTrendPerStratumAllYears","CA-BC-BCR-09","CAN","BC",9,"Great Basin",,0.9776915,0.963827975,0.9911532,0.0273252249999999,0.9776371426,0.00691592005113424,1380.96116571839,0.225485176357656,0.9663106,0.971012499,0.984264165,0.9888611
"RatioTrendPerStratumAllYears","CA-BC-BCR-10","CAN","BC",10,"Northern Rockies",,0.989353,0.98092895,0.99815325,0.0172243,0.9894081429,0.00441655223938854,755.107914180819,0.539944789569798,0.98221465,0.985219666,0.993656,0.996755
"RatioTrendPerStratumAllYears","CA-YT-BCR-04","CAN","YT",4,"Northwestern Interior Forest",,1.02879,1.0085195,1.04813075,0.0396112499999999,1.0286564571,0.010110866986529,291.830922417026,0.391016150652717,1.0118895,1.01897833,1.03844,1.0453305
"RatioTrendPerStratumAllYears","US-AK-BCR-02","USA","AK",2,"Western Alaska",,0.9998965,0.98145645,1.0163505,0.0348940500000001,0.9996178199,0.00877511819931818,1116.00001906445,1.86625551343885,0.9847709,0.991311998,1.0079833,1.01365
"RatioTrendPerStratumAllYears","US-AK-BCR-04","USA","AK",4,"Northwestern Interior Forest",,1.0107,1.00054,1.02084025,0.02030025,1.010767883,0.0051950378626869,535.584226679237,1.28305457450905,1.00224,1.00594,1.01584,1.019331
"RatioTrendPerStratumAllYears","US-AK-BCR-05","USA","AK",5,"Northern Pacific Rainforest",,1.012865,1.0027795,1.02364,0.0208605000000002,1.0129608,0.00524612498453242,1027.18797532161,2.27380537186762,1.00446,1.00809,1.01794,1.02168
"RatioTrendPerStratumAllYears","US-AZ-BCR-34","USA","AZ",34,"Sierra Madre Occidental",,0.9436355,0.921797725,0.9676513,0.045853575,0.9437930703,0.011560834569284,159.55634989236,0.207742702482769,0.92560965,0.932927666,0.95432197,0.96315835
"RatioTrendPerStratumAllYears","US-CA-BCR-05","USA","CA",5,"Northern Pacific Rainforest",,0.9826895,0.9715367,0.994584075,0.0230473750000001,0.9827497019,0.00581361699275849,1138.29678175174,-0.265100384705538,0.9732909,0.977341,0.988185165,0.9925731
"RatioTrendPerStratumAllYears","US-CA-BCR-09","USA","CA",9,"Great Basin",,0.987583,0.972331925,1.00237025,0.030038325,0.9875535269,0.00762928514895497,754.259377311481,1.91111467068009,0.9751138,0.980377664,0.994828165,0.9999451
"RatioTrendPerStratumAllYears","US-CA-BCR-15","USA","CA",15,"Sierra Nevada",,1.0003,0.990878525,1.0122,0.021321475,1.0006563231,0.00533072895910399,1563.3419615391,0.189273228800117,0.9924927,0.995777,1.00553165,1.00996
"RatioTrendPerStratumAllYears","US-CA-BCR-32","USA","CA",32,"Coastal California",,0.9893705,0.9793828,0.999968025,0.020585225,0.9894482735,0.00525748210611385,1054.46777281461,-0.234617827279457,0.9810039,0.984487,0.994474495,0.9983111
"RatioTrendPerStratumAllYears","US-CO-BCR-16","USA","CO",16,"Southern Rockies And Colorado Plateau",,0.998118,0.989839,1.00793025,0.01809125,0.9983376238,0.00461584158398297,1544.21310894621,1.19388728525711,0.99102395,0.993969499,1.00278,1.0062605
"RatioTrendPerStratumAllYears","US-CO-BCR-18","USA","CO",18,"Shortgrass Prairie",,0.991908,0.9819907,1.00267,0.0206793,0.9920248618,0.00520912924462904,1613.04024371004,-0.306299480509741,0.9835987,0.987010833,0.99708366,1.0006805
