"stratum","count_year","number_circles","total_count","total_obs_hours","stratum_area","circle_detection_ratio"
"CA-AB-BCR-06",1975,1,2,39,444799,0.143
"CA-AB-BCR-06",1976,1,2,26.5,444799,0.143
"CA-AB-BCR-06",1977,1,4,83.8,444799,0.143
"CA-AB-BCR-06",1978,1,2,151.5,444799,0.143
"CA-AB-BCR-06",1979,1,0,88.1,444799,0.143
"CA-AB-BCR-06",1980,1,4,91.6,444799,0.143
"CA-AB-BCR-06",1981,2,7,112.9,444799,0.143
"CA-AB-BCR-06",1982,2,7,116.1,444799,0.143
"CA-AB-BCR-06",1983,2,4,157.4,444799,0.143
"CA-AB-BCR-06",1984,2,9,171.1,444799,0.143
"CA-AB-BCR-06",1985,2,5,95.8,444799,0.143
"CA-AB-BCR-06",1986,2,5,189.3,444799,0.143
"CA-AB-BCR-06",1987,2,6,272.4,444799,0.143
"CA-AB-BCR-06",1988,2,7,283,444799,0.143
"CA-AB-BCR-06",1989,2,14,259.8,444799,0.143
"CA-AB-BCR-06",1990,2,7,270.3,444799,0.143
"CA-AB-BCR-06",1991,2,7,162.5,444799,0.143
"CA-AB-BCR-06",1992,3,7,329.8,444799,0.143
"CA-AB-BCR-06",1993,5,11,269.7,444799,0.143
"CA-AB-BCR-06",1994,3,14,309.7,444799,0.143
"CA-AB-BCR-06",1995,3,24,366.6,444799,0.143
"CA-AB-BCR-06",1996,4,24,441.2,444799,0.143
"CA-AB-BCR-06",1997,3,5,287.9,444799,0.143
"CA-AB-BCR-06",1998,4,20,461.3,444799,0.143
"CA-AB-BCR-06",1999,3,18,274,444799,0.143
"CA-AB-BCR-06",2000,4,15,372.5,444799,0.143
"CA-AB-BCR-06",2001,5,22,387.78,444799,0.143
"CA-AB-BCR-06",2002,5,23,352.5,444799,0.143
"CA-AB-BCR-06",2003,5,19,422.75,444799,0.143
"CA-AB-BCR-06",2004,5,15,307,444799,0.143
"CA-AB-BCR-06",2005,4,12,281.25,444799,0.143
"CA-AB-BCR-06",2006,4,12,291.75,444799,0.143
"CA-AB-BCR-06",2007,4,19,270.25,444799,0.143
"CA-AB-BCR-06",2008,4,15,326.5,444799,0.143
"CA-AB-BCR-06",2009,4,11,270,444799,0.143
"CA-AB-BCR-06",2010,4,12,291.75,444799,0.143
"CA-AB-BCR-06",2011,4,6,217.5,444799,0.143
"CA-AB-BCR-06",2012,4,8,248.25,444799,0.143
"CA-AB-BCR-06",2013,4,7,231.25,444799,0.143
"CA-AB-BCR-06",2014,4,5,231.25,444799,0.143
"CA-AB-BCR-06",2015,4,6,219.67,444799,0.143
"CA-AB-BCR-06",2016,4,12,227.38,444799,0.143
"CA-AB-BCR-06",2017,4,5,215.33,444799,0.143
"CA-AB-BCR-06",2018,4,6,239.91,444799,0.143
"CA-AB-BCR-06",2019,4,10,257.65,444799,0.143
"CA-AB-BCR-06",2020,4,7,240.87,444799,0.143
"CA-AB-BCR-06",2021,4,8,201.4,444799,0.143
"CA-AB-BCR-10",1976,2,21,116,47215,1
"CA-AB-BCR-10",1977,2,39,121.5,47215,1
"CA-AB-BCR-10",1978,2,54,123.5,47215,1
