"stratum","circle","count_year","country","state","bcr","lon","lat","stratum_area_km2","bcr_name","field_hours","feeder_hours","nocturnal_hours","how_many","detections_per_circle","total_counts","num_detections","total_individuals","nonzero_circles","circles_per_stratum","circle_detection_ratio","scaled_effort","circle_vec","strata_vec","year_vec"
"US-AZ-BCR-33","US-AZ-AvraValley",1987,"US","AZ",33,-111.250007,32.250052,103915.439430207,"Sonoran And Mojave Deserts",120,2,7,45,34,494,396,77049,20,24,0.833333333333333,1.30801860697135,3,1,22
"US-AZ-BCR-33","US-AZ-AvraValley",1988,"US","AZ",33,-111.250007,32.250052,103915.439430207,"Sonoran And Mojave Deserts",136,2,5,38,34,494,396,77049,20,24,0.833333333333333,1.48242108790086,3,1,23
"US-AZ-BCR-33","US-AZ-AvraValley",1989,"US","AZ",33,-111.250007,32.250052,103915.439430207,"Sonoran And Mojave Deserts",73,1,1,11,34,494,396,77049,20,24,0.833333333333333,0.795711319240903,3,1,24
"US-AZ-BCR-33","US-AZ-AvraValley",1990,"US","AZ",33,-111.250007,32.250052,103915.439430207,"Sonoran And Mojave Deserts",71,0,2,35,34,494,396,77049,20,24,0.833333333333333,0.773911009124714,3,1,25
"US-AZ-BCR-33","US-AZ-AvraValley",1991,"US","AZ",33,-111.250007,32.250052,103915.439430207,"Sonoran And Mojave Deserts",71,0,2,68,34,494,396,77049,20,24,0.833333333333333,0.773911009124714,3,1,26
"US-AZ-BCR-33","US-AZ-AvraValley",1992,"US","AZ",33,-111.250007,32.250052,103915.439430207,"Sonoran And Mojave Deserts",63,0,1,16,34,494,396,77049,20,24,0.833333333333333,0.686709768659957,3,1,27
"US-AZ-BCR-33","US-AZ-AvraValley",1993,"US","AZ",33,-111.250007,32.250052,103915.439430207,"Sonoran And Mojave Deserts",73.75,0,2,45,34,494,396,77049,20,24,0.833333333333333,0.803886435534474,3,1,28
"US-AZ-BCR-33","US-AZ-AvraValley",1994,"US","AZ",33,-111.250007,32.250052,103915.439430207,"Sonoran And Mojave Deserts",82,15,3,38,34,494,396,77049,20,24,0.833333333333333,0.893812714763754,3,1,29
"US-AZ-BCR-33","US-AZ-AvraValley",1995,"US","AZ",33,-111.250007,32.250052,103915.439430207,"Sonoran And Mojave Deserts",202.25,0,2,22,34,494,396,77049,20,24,0.833333333333333,2.20455636049962,3,1,30
"US-AZ-BCR-33","US-AZ-AvraValley",1996,"US","AZ",33,-111.250007,32.250052,103915.439430207,"Sonoran And Mojave Deserts",89,3,1,9,34,494,396,77049,20,24,0.833333333333333,0.970113800170416,3,1,31
"US-AZ-BCR-33","US-AZ-AvraValley",1997,"US","AZ",33,-111.250007,32.250052,103915.439430207,"Sonoran And Mojave Deserts",66.5,4,2,9,34,494,396,77049,20,24,0.833333333333333,0.724860311363288,3,1,32
"US-AZ-BCR-33","US-AZ-AvraValley",1998,"US","AZ",33,-111.250007,32.250052,103915.439430207,"Sonoran And Mojave Deserts",56.25,2,1,11,34,494,396,77049,20,24,0.833333333333333,0.613133722017819,3,1,33
