"stratum","circle","count_year","country","state","bcr","lon","lat","stratum_area_km2","bcr_name","field_hours","feeder_hours","nocturnal_hours","how_many","detections_per_circle","total_counts","num_detections","total_individuals","nonzero_circles","circles_per_stratum","circle_detection_ratio","scaled_effort","circle_vec","strata_vec","year_vec"
"CA-NB-BCR-14","CA-NB-BlacksHarbour",1988,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",8.5,4,0,1576,26,529,209,71755,20,48,0.416666666666667,0.109712020432471,1,1,23
"CA-NB-BCR-14","CA-NB-BlacksHarbour",1989,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",20.5,0,0,75,26,529,209,71755,20,48,0.416666666666667,0.264599578690077,1,1,24
"CA-NB-BCR-14","CA-NB-BlacksHarbour",1990,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",13,3,0,550,26,529,209,71755,20,48,0.416666666666667,0.167794854779073,1,1,25
"CA-NB-BCR-14","CA-NB-BlacksHarbour",1991,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",18,0,0,575,26,529,209,71755,20,48,0.416666666666667,0.232331337386409,1,1,26
"CA-NB-BCR-14","CA-NB-BlacksHarbour",1992,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",14,0,0,1250,26,529,209,71755,20,48,0.416666666666667,0.18070215130054,1,1,27
"CA-NB-BCR-14","CA-NB-BlacksHarbour",1993,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",20,0,0,535,26,529,209,71755,20,48,0.416666666666667,0.258145930429343,1,1,28
"CA-NB-BCR-14","CA-NB-BlacksHarbour",1995,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",7.5,0,0,209,26,529,209,71755,20,48,0.416666666666667,0.0968047239110038,1,1,30
"CA-NB-BCR-14","CA-NB-BlacksHarbour",1996,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",15,0,0,1300,26,529,209,71755,20,48,0.416666666666667,0.193609447822008,1,1,31
"CA-NB-BCR-14","CA-NB-BlacksHarbour",1998,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",17,0,0,962,26,529,209,71755,20,48,0.416666666666667,0.219424040864942,1,1,33
"CA-NB-BCR-14","CA-NB-BlacksHarbour",1999,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",25,0,0,600,26,529,209,71755,20,48,0.416666666666667,0.322682413036679,1,1,34
"CA-NB-BCR-14","CA-NB-BlacksHarbour",2000,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",13,5,0,495,26,529,209,71755,20,48,0.416666666666667,0.167794854779073,1,1,35
"CA-NB-BCR-14","CA-NB-BlacksHarbour",2001,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",21,3,0,1836,26,529,209,71755,20,48,0.416666666666667,0.271053226950811,1,1,36
"CA-NB-BCR-14","CA-NB-BlacksHarbour",2002,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",10,2,0,980,26,529,209,71755,20,48,0.416666666666667,0.129072965214672,1,1,37
"CA-NB-BCR-14","CA-NB-BlacksHarbour",2003,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",35.5,0,0,1430,26,529,209,71755,20,48,0.416666666666667,0.458209026512084,1,1,38
"CA-NB-BCR-14","CA-NB-BlacksHarbour",2004,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",21,2,0,1264,26,529,209,71755,20,48,0.416666666666667,0.271053226950811,1,1,39
"CA-NB-BCR-14","CA-NB-BlacksHarbour",2011,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",35,9,0,3819,26,529,209,71755,20,48,0.416666666666667,0.451755378251351,1,1,46
"CA-NB-BCR-14","CA-NB-BlacksHarbour",2012,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",29.5,6,0,980,26,529,209,71755,20,48,0.416666666666667,0.380765247383281,1,1,47
"CA-NB-BCR-14","CA-NB-BlacksHarbour",2013,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",43.75,0,0,405,26,529,209,71755,20,48,0.416666666666667,0.564694222814189,1,1,48
"CA-NB-BCR-14","CA-NB-BlacksHarbour",2014,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",17,6,0,581,26,529,209,71755,20,48,0.416666666666667,0.219424040864942,1,1,49
"CA-NB-BCR-14","CA-NB-BlacksHarbour",2015,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",26.5,2,0,737,26,529,209,71755,20,48,0.416666666666667,0.34204335781888,1,1,50
"CA-NB-BCR-14","CA-NB-BlacksHarbour",2016,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",9,2,0,216,26,529,209,71755,20,48,0.416666666666667,0.116165668693204,1,1,51
"CA-NB-BCR-14","CA-NB-BlacksHarbour",2017,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",19.5,1,0,183,26,529,209,71755,20,48,0.416666666666667,0.25169228216861,1,1,52
"CA-NB-BCR-14","CA-NB-BlacksHarbour",2018,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",12,4,0,88,26,529,209,71755,20,48,0.416666666666667,0.154887558257606,1,1,53
"CA-NB-BCR-14","CA-NB-BlacksHarbour",2019,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",12.25,0,0,349,26,529,209,71755,20,48,0.416666666666667,0.158114382387973,1,1,54
"CA-NB-BCR-14","CA-NB-BlacksHarbour",2020,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",3.25,0,0,1,26,529,209,71755,20,48,0.416666666666667,0.0419487136947683,1,1,55
"CA-NB-BCR-14","CA-NB-BlacksHarbour",2021,"CA","NB",14,-66.788903,45.05309,72975.3437785908,"Atlantic Northern Forest",11.75,0,0,1541,26,529,209,71755,20,48,0.416666666666667,0.151660734127239,1,1,56
